County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Saratoga,12065,KODA MIDDLE SCHOOL,Public School,No,75.0,11.0,75.0,11.0,"(43.00894, -73.786779)"
Saratoga,12065,OKTE ELEM SCHOOL,Public School,No,54.0,1.0,54.0,1.0,"(43.00894, -73.786779)"
Saratoga,12065,ORENDA ELEM SCHOOL,Public School,No,80.0,3.0,80.0,3.0,"(43.00894, -73.786779)"
Saratoga,12065,SHENENDEHOWA H S,Public School,No,300.0,13.0,300.0,13.0,"(43.00894, -73.786779)"
Saratoga,12065,SHENENDEHOWA HIGH SCHOOL WEST,Public School,No,151.0,5.0,151.0,5.0,"(43.00894, -73.786779)"
Saratoga,12065,SKANO ELEM SCHOOL,Public School,No,76.0,8.0,76.0,8.0,"(43.00894, -73.786779)"
Saratoga,12065,TESAGO ELEM SCHOOL,Public School,No,81.0,16.0,81.0,16.0,"(43.00894, -73.786779)"
Saratoga,12074,GALWAY JSHS,Public School,No,161.0,0.0,161.0,0.0,"(43.00894, -73.786779)"
Saratoga,12118,MECHANICVILLE JR/SR HIGH SCHOOL,Public School,No,14.0,1.0,14.0,1.0,"(43.00894, -73.786779)"
Saratoga,12170,STILLWATER ELEM SCHOOL,Public School,No,105.0,1.0,105.0,1.0,"(43.00894, -73.786779)"
Saratoga,12170,STILLWATER J S H S,Public School,No,254.0,2.0,254.0,2.0,"(43.00894, -73.786779)"
Saratoga,12801,BALLARD ELEM SCHOOL,Public School,No,50.0,1.0,50.0,1.0,"(43.00894, -73.786779)"
Saratoga,12803,SOUTH GLENS FALLS SENIOR HS,Public School,Yes (Partial Building),184.0,1.0,184.0,1.0,"(43.00894, -73.786779)"
Saratoga,12803,TANGLEWOOD ELEM SCHOOL,Public School,No,52.0,1.0,52.0,1.0,"(43.00894, -73.786779)"
Saratoga,12822,CORINTH MIDDLE/HIGH SCHOOL,Public School,No,43.0,4.0,43.0,4.0,"(43.00894, -73.786779)"
Saratoga,12833,GREENFIELD CENTER SCHOOL,Public School,No,66.0,8.0,66.0,8.0,"(43.00894, -73.786779)"
Saratoga,12866,CAROLINE STREET SCHOOL,Public School,No,51.0,1.0,51.0,1.0,"(43.00894, -73.786779)"
Saratoga,12866,DIVISION STREET SCHOOL,Public School,No,57.0,1.0,57.0,1.0,"(43.00894, -73.786779)"
Saratoga,12866,DOROTHY NOLAN SCHOOL,Public School,No,115.0,6.0,115.0,6.0,"(43.00894, -73.786779)"
Saratoga,12866,GEYSER ROAD ELEM SCHOOL,Public School,No,56.0,10.0,56.0,10.0,"(43.00894, -73.786779)"
Saratoga,12866,LAKE AVENUE SCHOOL,Public School,No,75.0,3.0,75.0,3.0,"(43.00894, -73.786779)"
Saratoga,12866,MAPLE AVENUE MIDDLE SCHOOL,Public School,No,106.0,4.0,106.0,4.0,"(43.00894, -73.786779)"
Saratoga,12866,SARATOGA SPRINGS H S,Public School,No,201.0,8.0,201.0,8.0,"(43.00894, -73.786779)"
Saratoga,12871,SCHUYLERVILLE  S H S,Public School,No,179.0,1.0,179.0,1.0,"(43.00894, -73.786779)"
Saratoga,12871,SCHUYLERVILLE ELEM SCHOOL,Public School,No,169.0,3.0,169.0,3.0,"(43.00894, -73.786779)"
Schenectady,12053,DUANESBURG ELEM SCHOOL,Public School,No,67.0,0.0,67.0,0.0,"(42.809233, -73.946838)"
Schenectady,12053,DUANESBURG J S H S,Public School,No,76.0,0.0,76.0,0.0,"(42.809233, -73.946838)"
Schenectady,12148,GLENCLIFF SCHOOL,Public School,No,71.0,6.0,71.0,6.0,"(42.809233, -73.946838)"
Schenectady,12203,MOUNT PLEASANT MIDDLE SCHOOL,Public School,No,112.0,6.0,112.0,6.0,"(42.809233, -73.946838)"
Schenectady,12303,BRADT PRIMARY SCHOOL,Public School,No,143.0,3.0,143.0,3.0,"(42.809233, -73.946838)"
Schenectady,12303,CAREER CENTER AT STEINMETZ,Public School,No,29.0,4.0,29.0,4.0,"(42.809233, -73.946838)"
Schenectady,12303,DRAPER MIDDLE SCHOOL,Public School,No,128.0,11.0,128.0,11.0,"(42.809233, -73.946838)"
Schenectady,12303,MOHONASEN SHS,Public School,No,156.0,11.0,156.0,11.0,"(42.809233, -73.946838)"
Schenectady,12303,PINEWOOD INTERMEDIATE SCHOOL,Public School,No,146.0,4.0,146.0,4.0,"(42.809233, -73.946838)"
Schenectady,12306,SCHALMONT HIGH  SCHOOL,Public School,No,54.0,1.0,54.0,1.0,"(42.809233, -73.946838)"
Schenectady,12309,BIRCHWOOD ELEMENTARY SCHOOL,Public School,No,78.0,3.0,78.0,3.0,"(42.809233, -73.946838)"
Schenectady,12309,CRAIG SCHOOL,Public School,No,68.0,2.0,68.0,2.0,"(42.809233, -73.946838)"
Schenectady,12309,HILLSIDE SCHOOL,Public School,No,84.0,6.0,84.0,6.0,"(42.809233, -73.946838)"
Schenectady,12309,IROQUOIS MIDDLE SCHOOL,Public School,No,75.0,30.0,75.0,30.0,"(42.809233, -73.946838)"
Schenectady,12309,NISKAYUNA S H S,Public School,No,158.0,7.0,158.0,7.0,"(42.809233, -73.946838)"
Schenectady,12309,ROSENDALE SCHOOL - SCHENECTADY,Public School,No,78.0,3.0,78.0,3.0,"(42.809233, -73.946838)"
Schenectady,12309,VAN ANTWERP MIDDLE SCHOOL,Public School,No,66.0,32.0,66.0,32.0,"(42.809233, -73.946838)"
Schoharie,12043,GEORGE D. RYDER ES,Public School,No,98.0,4.0,98.0,4.0,"(42.643426, -74.434606)"
Schoharie,12043,WILLIAM H GOLDING MS,Public School,No,75.0,4.0,75.0,4.0,"(42.643426, -74.434606)"
Schoharie,12122,MIDDLEBURGH ELEMENTARY SCHOOL,Public School,No,87.0,16.0,87.0,16.0,"(42.643426, -74.434606)"
Schoharie,12122,MIDDLEBURGH JUNIOR SENIOR HIGH SCHOOL,Public School,No,61.0,5.0,61.0,5.0,"(42.643426, -74.434606)"
Schoharie,12149,JOSEPH B RADEZ ES,Public School,No,57.0,7.0,57.0,7.0,"(42.643426, -74.434606)"
Schoharie,13459,SHARON SPRINGS CENTRAL SCHOOL,Public School,No,98.0,2.0,98.0,2.0,"(42.643426, -74.434606)"
Schuyler,14865,B C CATE ELEM SCHOOL,Public School,No,49.0,5.0,49.0,5.0,"(42.38593, -76.872032)"
Schuyler,14865,ODESSA MONTOUR MIDDLE/HIGH SCHOOL,Public School,No,47.0,8.0,47.0,8.0,"(42.38593, -76.872032)"
Schuyler,14869,HOWARD A HANLON ELEM SCHOOL,Public School,No,29.0,3.0,29.0,3.0,"(42.38593, -76.872032)"
Schuyler,14903,(LEAD ONLY) GREATER SOUTHERN TIER BOCES BUSH BLDG 1,BOCES School,No,26.0,1.0,26.0,1.0,"(42.38593, -76.872032)"
Schuyler,14903,(LEAD ONLY) GREATER SOUTHERN TIER BOCES BUSH BLDG 2,BOCES School,No,16.0,1.0,16.0,1.0,"(42.38593, -76.872032)"
Schuyler,14903,(LEAD ONLY) GREATER SOUTHERN TIER BOCES BUSH BLDG 6,BOCES School,No,2.0,1.0,2.0,1.0,"(42.38593, -76.872032)"
Schuyler,14903,(LEAD ONLY) GREATER SOUTHERN TIER BOCES BUSH BLDG 8,BOCES School,No,6.0,1.0,6.0,1.0,"(42.38593, -76.872032)"
Seneca,13148,E CADY STANTON ELEM SCHOOL,Public School,No,30.0,3.0,30.0,3.0,"(42.833627, -76.82753)"
Seneca,13148,MYNDERSE ACADEMY,Public School,No,44.0,4.0,44.0,4.0,"(42.833627, -76.82753)"
Seneca,13165,LA FAYETTE SCHOOL,Public School,No,60.0,8.0,60.0,8.0,"(42.833627, -76.82753)"
Seneca,13165,WATERLOO MIDDLE SCHOOL,Public School,No,28.0,5.0,28.0,5.0,"(42.833627, -76.82753)"
Seneca,13166,SKOI-YASE SCHOOL,Public School,No,61.0,13.0,61.0,13.0,"(42.833627, -76.82753)"
Seneca,14541,ROMULUS CENTRAL SCHOOL,Public School,No,104.0,21.0,104.0,21.0,"(42.833627, -76.82753)"
Seneca,14847,SOUTH SENECA ELEM SCHOOL,Public School,No,46.0,8.0,46.0,8.0,"(42.833627, -76.82753)"
St. Lawrence,13613,ST LAWRENCE ELEM SCHOOL,Public School,Yes (Partial Building),14.0,1.0,14.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13613,ST LAWRENCE J S H S,Public School,Yes (Partial Building),12.0,1.0,12.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13617,EDWARDS-KNOX JSHS,Public School,No,110.0,12.0,110.0,12.0,"(44.689468, -75.242045)"
St. Lawrence,13617,F S BANFORD ELEM SCHOOL,Public School,No,42.0,3.0,42.0,3.0,"(44.689468, -75.242045)"
St. Lawrence,13617,H C WILLIAMS S H S,Public School,No,55.0,14.0,55.0,14.0,"(44.689468, -75.242045)"
St. Lawrence,13617,JM MCKENNEY MIDDLE (4-8) SCHOOL,Public School,No,39.0,4.0,39.0,4.0,"(44.689468, -75.242045)"
St. Lawrence,13625,COLTON-PIERREPONT ES,Public School,No,16.0,1.0,16.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13625,COLTON-PIERREPONT JSHS,Public School,No,49.0,1.0,49.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13630,HERMON-DEKALB CENTRAL SCHOOL,Public School,No,72.0,4.0,72.0,4.0,"(44.689468, -75.242045)"
St. Lawrence,13642,(LEAD ONLY) ST LAWRENCE BOCES SOUTHWEST TECH CTR,BOCES School,No,21.0,1.0,21.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13642,GOUVERNEUR J S H S,Public School,Yes (Partial Building),59.0,7.0,59.0,7.0,"(44.689468, -75.242045)"
St. Lawrence,13646,HAMMOND CENTRAL SCHOOL,Public School,No,34.0,1.0,34.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13654,HEUVELTON CENTRAL SCHOOL,Public School,No,86.0,1.0,86.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13658,LISBON CENTRAL SCHOOL,Public School,No,90.0,1.0,90.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13660,MADRID WADDINGTON ES,Public School,No,68.0,1.0,68.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13660,MADRID WADDINGTON J S H S,Public School,No,119.0,0.0,119.0,0.0,"(44.689468, -75.242045)"
St. Lawrence,13662,J WM LEARY JHS,Public School,No,56.0,5.0,56.0,5.0,"(44.689468, -75.242045)"
St. Lawrence,13662,JEFFERSON ELEM SCHOOL,Public School,No,91.0,1.0,91.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13662,MADISON ELEM SCHOOL,Public School,No,84.0,3.0,84.0,3.0,"(44.689468, -75.242045)"
St. Lawrence,13662,MASSENA S H S,Public School,No,101.0,7.0,101.0,7.0,"(44.689468, -75.242045)"
St. Lawrence,13662,NIGHTENGALE ELEM SCHOOL,Public School,No,79.0,2.0,79.0,2.0,"(44.689468, -75.242045)"
St. Lawrence,13664,MORRISTOWN CENTRAL SCHOOL,Public School,No,50.0,2.0,50.0,2.0,"(44.689468, -75.242045)"
St. Lawrence,13668,NORWOOD-NORFOLK GRADE SCHOOL,Public School,No,36.0,1.0,36.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13669,J F KENNEDY SCHOOL,Public School,No,87.0,3.0,87.0,3.0,"(44.689468, -75.242045)"
St. Lawrence,13669,MADILL SCHOOL,Public School,No,31.0,0.0,31.0,0.0,"(44.689468, -75.242045)"
St. Lawrence,13669,OGDENSBURG FREE ACADEMY,Public School,No,87.0,4.0,87.0,4.0,"(44.689468, -75.242045)"
St. Lawrence,13672,PARISHVILLE-HOPKINGTON ELEMENTARY,Public School,No,20.0,1.0,20.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13672,PARISHVILLE-HOPKINGTON JUNIOR/SENIOR HIGH SCHOOL,Public School,No,40.0,7.0,40.0,7.0,"(44.689468, -75.242045)"
St. Lawrence,13676,A A KINGSTON MIDDLE SCHOOL,Public School,No,59.0,3.0,59.0,3.0,"(44.689468, -75.242045)"
St. Lawrence,13676,LAWRENCE AVENUE ELEM SCHOOL,Public School,No,118.0,7.0,118.0,7.0,"(44.689468, -75.242045)"
St. Lawrence,13676,POTSDAM S H S,Public School,No,66.0,2.0,66.0,2.0,"(44.689468, -75.242045)"
St. Lawrence,13684,EDWARDS-KNOX ES,Public School,No,38.0,6.0,38.0,6.0,"(44.689468, -75.242045)"
St. Lawrence,13690,CLIFTON-FINE ELEMENTARY,Public School,No,27.0,1.0,27.0,1.0,"(44.689468, -75.242045)"
St. Lawrence,13690,CLIFTON-FINE JSHS,Public School,No,29.0,6.0,29.0,6.0,"(44.689468, -75.242045)"
Steuben,14572,WAYLAND-COHOCTON ELEMENTARY SCHOOL,Public School,No,40.0,22.0,40.0,22.0,"(42.270053, -77.324618)"
Steuben,14572,WAYLAND-COHOCTON HIGH SCHOOL,Public School,No,33.0,2.0,33.0,2.0,"(42.270053, -77.324618)"
Steuben,14572,WAYLAND-COHOCTON MIDDLE SCHOOL,Public School,No,51.0,2.0,51.0,2.0,"(42.270053, -77.324618)"
Steuben,14807,ARKPORT ELEM SCHOOL,Public School,No,55.0,0.0,55.0,0.0,"(42.270053, -77.324618)"
Steuben,14807,ARKPORT J S H S,Public School,No,14.0,2.0,14.0,2.0,"(42.270053, -77.324618)"
Steuben,14810,DANA LYON MIDDLE SCHOOL,Public School,No,32.0,4.0,32.0,4.0,"(42.270053, -77.324618)"
Steuben,14810,VERNON E WIGHTMAN PRIMARY SCHOOL,Public School,No,75.0,0.0,75.0,0.0,"(42.270053, -77.324618)"
Steuben,14821,CAMPBELL JR SR HIGH SCHOOL,Public School,No,47.0,0.0,47.0,0.0,"(42.270053, -77.324618)"
Steuben,14826,WAYLAND-COHOCTON ELEM COHOCTON BLDG,Public School,No,29.0,2.0,29.0,2.0,"(42.270053, -77.324618)"
Steuben,14830,CORNING-PAINTED POST HIGH SCHOOL,Public School,No,69.0,0.0,69.0,0.0,"(42.270053, -77.324618)"
Steuben,14830,FREDERICK CARDER ELEM SCHOOL,Public School,No,101.0,0.0,101.0,0.0,"(42.270053, -77.324618)"
Steuben,14830,HUGH W GREGG ELEM SCHOOL,Public School,No,47.0,0.0,47.0,0.0,"(42.270053, -77.324618)"
Steuben,14830,WINFIELD STREET ES,Public School,No,52.0,0.0,52.0,0.0,"(42.270053, -77.324618)"
Steuben,14830,WM E SEVERN ELEM SCHOOL,Public School,No,103.0,0.0,103.0,0.0,"(42.270053, -77.324618)"
Steuben,14840,GLENN CURTISS MEMORIAL SCHOOL,Public School,No,16.0,3.0,16.0,3.0,"(42.270053, -77.324618)"
Steuben,14840,HAMMONDSPORT J S H S,Public School,No,17.0,2.0,17.0,2.0,"(42.270053, -77.324618)"
Steuben,14843,HORNELL S H S (AND JSH LEAD REPORTING),Public School,No,34.0,0.0,34.0,0.0,"(42.270053, -77.324618)"
Steuben,14870,(LEAD ONLY) CORNING CSD ADMIN BLDG,Public School,No,22.0,0.0,22.0,0.0,"(42.270053, -77.324618)"
Steuben,14870,CALVIN U SMITH ELEM SCHOOL,Public School,No,58.0,0.0,58.0,0.0,"(42.270053, -77.324618)"
Steuben,14870,CORNING-PAINTED POST MIDDLE SCHOOL,Public School,No,72.0,0.0,72.0,0.0,"(42.270053, -77.324618)"
Steuben,14870,ERWIN VALLEY ELEM SCHOOL,Public School,No,65.0,0.0,65.0,0.0,"(42.270053, -77.324618)"
Steuben,14873,PRATTSBURG CENTRAL SCHOOL,Public School,No,89.0,3.0,89.0,3.0,"(42.270053, -77.324618)"
Suffolk,11701,AMITYVILLE MEMORIAL H S,Public School,Yes (Partial Building),71.0,1.0,71.0,1.0,"(40.820237, -73.119032)"
Suffolk,11701,EDMUND MILES MIDDLE SCHOOL,Public School,No,103.0,2.0,103.0,2.0,"(40.820237, -73.119032)"
Suffolk,11701,NORTHEAST SCHOOL,Public School,No,59.0,1.0,59.0,1.0,"(40.820237, -73.119032)"
Suffolk,11701,NORTHWEST ELEM SCHOOL,Public School,No,99.0,0.0,99.0,0.0,"(40.820237, -73.119032)"
Suffolk,11701,PARK AVENUE SCHOOL,Public School,No,92.0,0.0,92.0,0.0,"(40.820237, -73.119032)"
Suffolk,11702,BABYLON ELEM SCHOOL,Public School,No,95.0,1.0,95.0,1.0,"(40.820237, -73.119032)"
Suffolk,11702,BABYLON J S H S,Public School,No,69.0,1.0,69.0,1.0,"(40.820237, -73.119032)"
Suffolk,11702,BABYLON MEMORIAL GRADE SCHOOL,Public School,No,112.0,5.0,112.0,5.0,"(40.820237, -73.119032)"
Suffolk,11703,NORTH BABYLON HIGH SCHOOL,Public School,No,71.0,5.0,71.0,5.0,"(40.820237, -73.119032)"
Suffolk,11703,PARLIAMENT PLACE ELEMENTARY,Public School,No,58.0,10.0,58.0,10.0,"(40.820237, -73.119032)"
Suffolk,11703,ROBERT MOSES MIDDLE SCH,Public School,No,50.0,6.0,50.0,6.0,"(40.820237, -73.119032)"
Suffolk,11703,WILLIAM E DELUCA ELEMENTARY SCHOOL,Public School,No,73.0,16.0,73.0,16.0,"(40.820237, -73.119032)"
Suffolk,11703,WOODS RD ELEMENTARY SCHOOL,Public School,No,64.0,2.0,64.0,2.0,"(40.820237, -73.119032)"
Suffolk,11704,BELMONT ELEMENTARY SCHOOL,Public School,No,69.0,10.0,69.0,10.0,"(40.820237, -73.119032)"
Suffolk,11704,FOREST AVENUE SCHOOL,Public School,No,81.0,1.0,81.0,1.0,"(40.820237, -73.119032)"
Suffolk,11704,JOHN F KENNEDY SCHOOL,Public School,No,90.0,7.0,90.0,7.0,"(40.820237, -73.119032)"
Suffolk,11704,SANTAPOGUE SCHOOL,Public School,No,73.0,18.0,73.0,18.0,"(40.820237, -73.119032)"
Suffolk,11704,SOUTH BAY SCHOOL,Public School,No,72.0,2.0,72.0,2.0,"(40.820237, -73.119032)"
Suffolk,11704,TOOKER AVENUE SCHOOL,Public School,No,85.0,3.0,85.0,3.0,"(40.820237, -73.119032)"
Suffolk,11704,WEST BABYLON JUNIOR HIGH SCHOOL,Public School,No,161.0,44.0,161.0,44.0,"(40.820237, -73.119032)"
Suffolk,11704,WEST BABYLON SENIOR HIGH SCHOOL,Public School,No,242.0,21.0,242.0,21.0,"(40.820237, -73.119032)"
Suffolk,11705,ACADEMY ST ELEM SCHOOL,Public School,No,55.0,22.0,55.0,22.0,"(40.820237, -73.119032)"
Suffolk,11705,BAYPORT-BLUE POINT H S,Public School,No,90.0,22.0,90.0,22.0,"(40.820237, -73.119032)"
Suffolk,11705,JAMES WILSON YOUNG MS,Public School,No,43.0,20.0,43.0,20.0,"(40.820237, -73.119032)"
Suffolk,11705,SYLVAN AVENUE ELEM SCHOOL,Public School,No,56.0,10.0,56.0,10.0,"(40.820237, -73.119032)"
Suffolk,11706,BAY SHORE MIDDLE SCHOOL,Public School,No,104.0,35.0,104.0,35.0,"(40.820237, -73.119032)"
Suffolk,11706,BAY SHORE S H S,Public School,No,118.0,8.0,118.0,8.0,"(40.820237, -73.119032)"
Suffolk,11706,BROOK AVENUE ELEM SCHOOL,Public School,No,60.0,3.0,60.0,3.0,"(40.820237, -73.119032)"
Suffolk,11706,FIFTH AVENUE SCHOOL,Public School,No,52.0,6.0,52.0,6.0,"(40.820237, -73.119032)"
Suffolk,11706,GARDINER MANOR SCHOOL,Public School,No,64.0,10.0,64.0,10.0,"(40.820237, -73.119032)"
Suffolk,11706,MARY G CLARKSON SCHOOL,Public School,No,73.0,5.0,73.0,5.0,"(40.820237, -73.119032)"
Suffolk,11706,SOUTH COUNTRY SCHOOL,Public School,No,45.0,2.0,45.0,2.0,"(40.820237, -73.119032)"
Suffolk,11706,SOUTHWEST ELEMENTARY SCHOOL,Public School,No,144.0,0.0,144.0,0.0,"(40.820237, -73.119032)"
Suffolk,11713,(LEAD ONLY) EASTERN SUFFOLK BOCES BROOKHAVEN LEARNING CENTER EAST,BOCES School,No,50.0,1.0,50.0,1.0,"(40.820237, -73.119032)"
Suffolk,11713,(LEAD ONLY) EASTERN SUFFOLK BOCES BROOKHAVEN LEARNING CTR WEST,BOCES School,No,27.0,1.0,27.0,1.0,"(40.820237, -73.119032)"
Suffolk,11713,(LEAD ONLY) EASTERN SUFFOLK BOCES GARY D BIXHORN TECH CENTER,BOCES School,No,94.0,11.0,94.0,11.0,"(40.820237, -73.119032)"
Suffolk,11713,BELLPORT MIDDLE SCHOOL,Public School,No,83.0,22.0,83.0,22.0,"(40.820237, -73.119032)"
Suffolk,11713,FRANK P. LONG INTERMEDIATE SCHOOL,Public School,No,127.0,16.0,127.0,16.0,"(40.820237, -73.119032)"
Suffolk,11713,KREAMER STREET ELEM SCHOOL,Public School,No,78.0,1.0,78.0,1.0,"(40.820237, -73.119032)"
Suffolk,11715,BLUE POINT ELEM SCHOOL,Public School,No,28.0,9.0,28.0,9.0,"(40.820237, -73.119032)"
Suffolk,11716,CONNETQUOT H S,Public School,No,71.0,4.0,71.0,4.0,"(40.820237, -73.119032)"
Suffolk,11716,EDWARD J BOSTI ELEM SCHOOL,Public School,No,59.0,5.0,59.0,5.0,"(40.820237, -73.119032)"
Suffolk,11716,JOHN PEARL ELEM SCHOOL,Public School,No,51.0,5.0,51.0,5.0,"(40.820237, -73.119032)"
Suffolk,11716,SYCAMORE AVENUE ELEM SCHOOL,Public School,No,63.0,8.0,63.0,8.0,"(40.820237, -73.119032)"
Suffolk,11717,EAST ELEMENTARY SCHOOL,Public School,No,89.0,2.0,89.0,2.0,"(40.820237, -73.119032)"
Suffolk,11717,EAST MIDDLE SCHOOL,Public School,No,71.0,2.0,71.0,2.0,"(40.820237, -73.119032)"
Suffolk,11717,FRESHMAN CENTER,Public School,No,36.0,0.0,36.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,HEMLOCK ELEMENTARY SCHOOL,Public School,No,100.0,0.0,100.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,LAUREL PARK ELEMENTARY SCHOOL,Public School,No,85.0,1.0,85.0,1.0,"(40.820237, -73.119032)"
Suffolk,11717,LORETTA PARK ELEMENTARY SCHOOL,Public School,No,84.0,0.0,84.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,NORTH ELEMENTARY SCHOOL,Public School,No,120.0,1.0,120.0,1.0,"(40.820237, -73.119032)"
Suffolk,11717,NORTH MIDDLE SCHOOL,Public School,No,69.0,0.0,69.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,NORTHEAST ELEMENTARY SCHOOL,Public School,No,123.0,2.0,123.0,2.0,"(40.820237, -73.119032)"
Suffolk,11717,OAK PARK ELEMENTARY SCHOOL,Public School,No,108.0,2.0,108.0,2.0,"(40.820237, -73.119032)"
Suffolk,11717,PINE PARK ELEMENTARY SCHOOL,Public School,No,98.0,0.0,98.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,ROSS AND SONDERLING HIGH SCHOOL,Public School,No,138.0,3.0,138.0,3.0,"(40.820237, -73.119032)"
Suffolk,11717,SOUTH MIDDLE SCHOOL,Public School,No,53.0,0.0,53.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,SOUTHEAST ELEMENTARY SCHOOL,Public School,No,66.0,1.0,66.0,1.0,"(40.820237, -73.119032)"
Suffolk,11717,TWIN PINES ELEMENTARY SCHOOL,Public School,No,103.0,0.0,103.0,0.0,"(40.820237, -73.119032)"
Suffolk,11717,WEST MIDDLE SCHOOL,Public School,No,73.0,0.0,73.0,0.0,"(40.820237, -73.119032)"
Suffolk,11719,BELLPORT SHS,Public School,No,75.0,22.0,75.0,22.0,"(40.820237, -73.119032)"
Suffolk,11719,BROOKHAVEN ELEM SCHOOL,Public School,No,124.0,18.0,124.0,18.0,"(40.820237, -73.119032)"
Suffolk,11720,CENTEREACH H S,Public School,No,110.0,18.0,110.0,18.0,"(40.820237, -73.119032)"
Suffolk,11720,DAWNWOOD J H S,Public School,No,1.0,86.0,1.0,86.0,"(40.820237, -73.119032)"
Suffolk,11720,HOLBROOK ROAD SCHOOL,Public School,No,23.0,3.0,23.0,3.0,"(40.820237, -73.119032)"
Suffolk,11720,JERICHO ELEM SCHOOL,Public School,No,41.0,1.0,41.0,1.0,"(40.820237, -73.119032)"
Suffolk,11720,NORTH COLEMAN ROAD SCHOOL,Public School,No,52.0,3.0,52.0,3.0,"(40.820237, -73.119032)"
Suffolk,11720,OXHEAD ROAD SCHOOL,Public School,No,53.0,2.0,53.0,2.0,"(40.820237, -73.119032)"
Suffolk,11720,SELDEN J H S,Public School,No,65.0,9.0,65.0,9.0,"(40.820237, -73.119032)"
Suffolk,11720,UNITY DRIVE LRNG CENTER,Public School,No,59.0,1.0,59.0,1.0,"(40.820237, -73.119032)"
Suffolk,11721,WASHINGTON DRIVE PRIMARY SCHOOL,Public School,No,57.0,1.0,57.0,1.0,"(40.820237, -73.119032)"
Suffolk,11722,ANDREW T MORROW SCHOOL,Public School,No,40.0,3.0,40.0,3.0,"(40.820237, -73.119032)"
Suffolk,11722,ANTHONY ALFANO ELEMENTARY SCHOOL,Public School,No,110.0,5.0,110.0,5.0,"(40.820237, -73.119032)"
Suffolk,11722,CENTRAL ISLIP HIGH SCHOOL,Public School,No,111.0,4.0,111.0,4.0,"(40.820237, -73.119032)"
Suffolk,11722,CHARLES A MULLIGAN INTERMEDIATE SCHOOL,Public School,No,107.0,2.0,107.0,2.0,"(40.820237, -73.119032)"
Suffolk,11722,CORDELLO AVENUE ELEMENTARY SCHOOL,Public School,No,89.0,5.0,89.0,5.0,"(40.820237, -73.119032)"
Suffolk,11722,FRANCIS J ONEILL SCHOOL,Public School,No,80.0,7.0,80.0,7.0,"(40.820237, -73.119032)"
Suffolk,11722,MARGUERITE L MULVEY SCHOOL,Public School,No,101.0,12.0,101.0,12.0,"(40.820237, -73.119032)"
Suffolk,11722,RALPH REED SCHOOL,Public School,No,111.0,4.0,111.0,4.0,"(40.820237, -73.119032)"
Suffolk,11724,COLD SPRING HARBOR H S,Public School,No,72.0,7.0,72.0,7.0,"(40.820237, -73.119032)"
Suffolk,11724,GOOSEHILL PRIMARY CTR,Public School,No,78.0,4.0,78.0,4.0,"(40.820237, -73.119032)"
Suffolk,11725,BURR INTERMEDIATE SCHOOL,Public School,No,65.0,8.0,65.0,8.0,"(40.820237, -73.119032)"
Suffolk,11725,COMMACK HIGH SCHOOL,Public School,No,164.0,26.0,164.0,26.0,"(40.820237, -73.119032)"
Suffolk,11725,COMMACK MIDDLE SCHOOL,Public School,No,99.0,29.0,99.0,29.0,"(40.820237, -73.119032)"
Suffolk,11725,EAST ISLIP H S,Public School,No,62.0,7.0,62.0,7.0,"(40.820237, -73.119032)"
Suffolk,11725,INDIAN HOLLOW SCHOOL,Public School,No,36.0,8.0,36.0,8.0,"(40.820237, -73.119032)"
Suffolk,11725,MANDRACCHIA-SAW MILL INTERMEDIATE SCHOOL,Public School,No,58.0,17.0,58.0,17.0,"(40.820237, -73.119032)"
Suffolk,11725,NORTH RIDGE SCHOOL,Public School,No,64.0,6.0,64.0,6.0,"(40.820237, -73.119032)"
Suffolk,11725,WOOD PARK SCHOOL,Public School,No,72.0,8.0,72.0,8.0,"(40.820237, -73.119032)"
Suffolk,11726,COPIAGUE H S,Public School,No,94.0,7.0,94.0,7.0,"(40.820237, -73.119032)"
Suffolk,11726,COPIAGUE J H S,Public School,No,80.0,3.0,80.0,3.0,"(40.820237, -73.119032)"
Suffolk,11726,SUSAN E WILEY SCHOOL,Public School,No,27.0,2.0,27.0,2.0,"(40.820237, -73.119032)"
Suffolk,11727,CORAM ELEM SCHOOL,Public School,No,34.0,0.0,34.0,0.0,"(40.820237, -73.119032)"
