County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10457,X092,Public School,No,75.0,0.0,75.0,0.0,"(40.846205, -73.889602)"
Bronx,10457,X118,Public School,No,58.0,0.0,58.0,0.0,"(40.848702, -73.892482)"
Bronx,10457,X137,Public School,No,120.0,0.0,120.0,0.0,"(40.854257, -73.897404)"
Bronx,10457,X147,Public School,No,125.0,0.0,125.0,0.0,"(40.840536, -73.904353)"
Bronx,10457,X171,Public School,No,92.0,0.0,92.0,0.0,"(40.841758, -73.897943)"
Bronx,10457,X193,Public School,No,152.0,0.0,152.0,0.0,"(40.843705, -73.890145)"
Bronx,10457,X211,Public School,No,54.0,0.0,54.0,0.0,"(40.848385, -73.893744)"
Bronx,10457,X234,Public School,No,86.0,0.0,86.0,0.0,"(40.846128, -73.886721)"
Bronx,10457,X410,Public School,No,148.0,0.0,148.0,0.0,"(40.839307, -73.911366)"
Bronx,10457,X465,Public School,No,71.0,0.0,71.0,0.0,"(40.845366, -73.897479)"
Bronx,10457,X781,Public School,No,76.0,0.0,76.0,0.0,"(40.850674, -73.886997)"
Bronx,10457,X853,Public School,No,19.0,0.0,19.0,0.0,"(40.850852, -73.893176)"
Bronx,10457,X870,Public School,No,11.0,0.0,11.0,0.0,"(40.844236, -73.908070)"
Bronx,10457,X876,Public School,No,46.0,0.0,46.0,0.0,"(40.843250, -73.902969)"
Bronx,10457,X909,Public School,No,66.0,0.0,66.0,0.0,"(40.846495, -73.896596)"
Bronx,10457,X932,Public School,No,10.0,0.0,10.0,0.0,"(40.848702, -73.892482)"
Bronx,10457,X970,Public School,No,119.0,0.0,119.0,0.0,"(40.839508, -73.901774)"
Bronx,10458,X008,Public School,No,110.0,0.0,110.0,0.0,"(40.872259, -73.883339)"
Bronx,10458,X009,Public School,No,101.0,0.0,101.0,0.0,"(40.856440, -73.898821)"
Bronx,10458,X032,Public School,No,93.0,0.0,93.0,0.0,"(40.851724, -73.88622)"
Bronx,10458,X045,Public School,No,86.0,0.0,86.0,0.0,"(40.858389, -73.887026)"
Bronx,10458,X054,Public School,No,125.0,0.0,125.0,0.0,"(40.864872, -73.88794)"
