COUNTY,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Columbia,60016,33622,25323,11204,1758,6407,4148,2693,14357,10370,8658,1111,720,8536,1190,2915,258,1746,2452,51405,8033,2456,2975,1037,53,6,1865,144,19.3,5.7,25.3,9.1,4.6,23.9,17.3,14.8,4.4,1.3,14.2,3.5,8.7,1.0,6.9,4.1,14.0,4.1,5.0,1.7,0.1,0.0,3.1,0.2,0.541,0.541,0.5246,0.1475,0.3607
Cortland,47618,20806,17980,9991,1406,4217,2788,1599,7755,8998,6084,1042,137,3753,1041,1395,344,1306,3469,46732,8112,971,1333,454,56,0,874,65,22.7,5.6,23.5,9.3,3.4,16.3,18.9,12.9,5.8,0.3,7.9,5.0,6.7,1.9,7.3,7.3,18.4,2.0,2.8,1.0,0.1,0.0,1.8,0.1,0.3115,0.0,0.2131,0.6066,0.2131
Delaware,44676,31624,18930,10845,887,4566,3455,2539,10947,7476,7844,846,430,3763,485,3887,236,1620,2278,40150,6458,734,1803,366,46,3,718,93,25.5,4.3,24.1,10.5,5.7,24.5,16.7,17.7,4.5,1.0,8.4,1.5,12.3,1.2,8.6,5.1,15.2,1.6,4.0,0.8,0.1,0.0,1.6,0.2,0.7049,0.7213,0.2623,0.2787,0.541
Dutchess,293524,121161,110095,40042,7639,32065,18301,12884,51644,55351,34875,5775,6191,86474,10488,3913,2039,8214,18161,283216,19602,29153,36957,9955,406,82,8538,1383,14.5,5.0,29.1,8.9,4.5,17.6,18.9,12.2,5.2,2.2,29.5,8.7,3.2,1.9,7.5,6.2,7.1,9.9,12.6,3.4,0.1,0.0,2.9,0.5,0.3934,0.2459,0.8197,0.6393,0.4754
Erie,918873,429708,392910,192533,22605,102963,51541,27979,165159,186552,121511,26502,15424,230854,35114,6153,5260,49110,27214,1016434,99155,116511,52435,34586,3937,260,21420,1705,21.6,4.8,26.2,8.0,3.1,18.0,20.3,13.4,6.7,1.8,25.1,8.2,1.4,1.3,12.5,3.0,11.1,12.7,5.7,3.8,0.4,0.0,2.3,0.2,0.2295,0.7869,0.7541,0.459,0.4426
Essex,37281,26390,16182,6550,842,3736,2735,1233,8749,5995,5531,748,233,3106,661,1668,238,1366,2727,36220,5271,1098,1158,102,81,19,461,187,18.9,4.7,23.1,9.5,3.5,23.5,16.1,15.8,4.6,0.7,8.3,2.5,6.3,1.5,8.4,7.3,15.3,2.9,3.1,0.3,0.2,0.1,1.2,0.5,0.1967,0.4426,0.2295,0.2951,0.1967
Franklin,50389,25835,18880,12239,1474,4251,4366,2961,8610,9748,7537,973,181,9378,763,2556,226,1944,5579,50687,7716,2815,1815,544,3130,74,940,60,27.2,7.0,22.5,12.3,6.5,17.1,19.3,16.4,5.2,0.4,18.6,3.0,9.9,1.2,10.3,11.1,17.2,5.6,3.6,1.1,6.2,0.1,1.9,0.1,0.9016,0.2295,0.6393,0.6721,0.7541
Fulton,53452,29148,22406,13108,1032,5326,4466,2044,10432,10797,8827,1592,131,4658,897,2918,183,2291,1160,48880,8126,923,1795,399,123,29,1345,44,25.1,4.0,23.8,11.6,3.9,19.5,20.2,16.8,7.1,0.3,8.7,3.1,10.0,0.8,10.2,2.2,15.5,1.7,3.4,0.7,0.2,0.1,2.5,0.1,0.4754,0.8525,0.2951,0.2295,0.459
Genesee,57554,25826,24174,10394,1200,5535,3207,1806,10791,11671,8376,1018,238,5617,845,1515,402,2369,779,54172,6786,1251,1959,462,409,0,1456,80,18.3,4.0,22.9,7.8,3.2,18.7,20.3,14.7,4.2,0.4,9.8,3.3,5.9,1.7,9.8,1.4,12.0,2.2,3.4,0.8,0.7,0.0,2.5,0.1,0.0164,0.1803,0.3279,0.1803,0.082
Greene,47335,29746,17681,8616,807,5064,4512,1634,10507,7807,5786,500,505,7310,920,2095,300,1634,3289,42417,8554,2592,2922,467,257,9,945,118,19.5,3.7,28.6,12.7,3.7,22.2,16.5,13.0,2.8,1.1,15.4,3.1,7.0,1.7,9.2,6.9,19.4,5.5,6.2,1.0,0.5,0.0,2.0,0.2,0.4262,0.1967,0.5738,0.5902,0.377
Hamilton,4454,8964,1416,957,44,248,713,307,1373,600,939,34,39,284,28,973,7,43,135,3507,812,24,77,2,16,0,165,0,21.6,2.1,17.5,20.5,6.9,30.8,13.5,21.2,2.4,0.9,6.4,0.3,10.9,0.5,3.0,3.0,18.8,0.5,1.7,0.0,0.4,0.0,3.7,0.0,0.4426,0.5082,0.0984,0.0,0.1803
Herkimer,61738,33850,25093,13876,1889,4900,4090,2718,12728,12710,9595,1252,367,3956,1676,2927,313,2577,1149,51928,7417,654,1411,300,71,14,1346,160,22.9,6.1,19.5,9.4,4.4,20.6,20.6,15.7,5.0,0.6,6.4,5.0,8.6,1.2,10.3,1.9,12.2,1.1,2.3,0.5,0.1,0.0,2.2,0.3,0.5574,0.7049,0.0984,0.3443,0.4098
Jefferson,111454,60119,43046,24969,2613,11883,6412,4727,15169,26810,14312,2925,434,20961,3484,7563,852,3885,6496,113294,11640,6085,8598,1808,339,229,3800,102,23.9,5.8,27.6,9.0,4.8,13.6,24.1,14.5,6.8,0.4,18.8,5.8,12.6,2.0,9.0,5.8,11.1,5.5,7.7,1.6,0.3,0.2,3.4,0.1,0.7869,0.5082,0.6557,0.9344,0.8525
Kings,2576771,1055660,972314,738039,84940,383374,299205,170913,360759,588281,256247,73323,274111,1638198,444848,1358,96386,540937,41491,2235689,385412,754576,486272,304420,3053,1009,74636,14232,28.9,6.5,39.4,16.8,6.7,14.0,22.8,10.0,7.5,11.5,63.6,42.1,0.1,9.9,55.6,1.6,15.2,29.3,18.9,11.8,0.1,0.0,2.9,0.6,0.9836,0.8033,0.9672,0.8361,0.9836
Lewis,26456,15766,10398,6368,611,2155,1598,1213,4959,6059,3838,394,142,1186,243,1925,133,456,340,21515,3711,239,457,74,49,0,268,99,24.3,4.9,20.7,8.7,4.6,18.7,22.9,14.7,3.8,0.6,4.5,1.5,12.2,1.3,4.4,1.3,14.2,0.9,1.7,0.3,0.2,0.0,1.0,0.4,0.3279,0.377,0.0,0.0328,0.1311
Livingston,63218,27601,24496,10970,1229,6173,3511,1869,11287,11200,7359,1262,387,6262,1253,2793,230,1520,6046,56355,6582,1646,2401,672,142,53,1294,54,19.1,4.0,25.2,8.2,3.1,17.9,17.7,12.1,5.2,0.6,9.9,4.5,10.1,0.9,6.2,9.6,11.5,2.6,3.8,1.1,0.2,0.1,2.0,0.1,0.0984,0.0656,0.3607,0.377,0.1148
